make,model,year,mileage,avg_trip_length_miles,maintenance_events,past_failures,severity_score,maintenance_cost_last_year,fuel_cost_last_year,complaint_text,maintenance_action,has_mechanical_issue
Honda,Civic,2021,58330,22.2,3,1,3.89,905.98,1396.99,Complaints about 2021 Honda Civic include infotainment crash and 58330 after reduced acceleration maintenance. Owner felt comfortable after oil change.,oil change,1
Ford,F-150,2022,61657,16.6,0,3,4.14,120,1017.93,Complaints about 2022 Ford F-150 include infotainment crash and 61657 after sudden shutdown maintenance. Owner felt smooth after tire rotation.,tire rotation,0
Toyota,RAV4,2013,66290,5,3,1,1.94,908.57,1064.33,2013 Toyota RAV4 owner reported engine stalling leading to 66290 during increased stopping distance driving. Owner felt unsafe after brake pad replacement.,brake pad replacement,0
Chevrolet,Malibu,2015,38280,23.7,1,0,1.05,633.15,1405.25,2015 Chevrolet Malibu suffers from suspension noise with 38280 warning lights at reduced acceleration mileage. Owner felt disappointed and quiet after battery inspection.,battery inspection,0
Subaru,Impreza,2016,26592,33.7,1,2,4.88,930.57,956.92,2016 Subaru Impreza experienced air conditioning fault around 26592 miles causing increased stopping distance. Owner felt average after oil change.,oil change,1
BMW,3 Series,2014,51581,11.9,3,0,4.24,1029.47,883.47,2014 BMW 3 Series owner reported brake wear leading to 51581 during warning chimes driving. Owner felt disappointed after brake pad replacement.,brake pad replacement,0
Toyota,RAV4,2015,52712,18.2,3,0,2.87,613.4,1137.38,2015 Toyota RAV4 owner reported battery degradation leading to 52712 during reduced acceleration driving. Owner felt expensive after software update.,software update,1
Chevrolet,Malibu,2014,32576,10.8,3,0,5.0,927.1,1250.23,2014 Chevrolet Malibu experienced electrical system glitch around 32576 miles causing sudden shutdown. Owner felt frustrating after brake pad replacement.,brake pad replacement,1
Chevrolet,Equinox,2020,41405,18.7,3,1,5.57,830.26,1011.86,2020 Chevrolet Equinox experienced transmission failure around 41405 miles causing warning chimes. Owner felt average after battery inspection.,battery inspection,1
Chevrolet,Silverado,2018,72238,12.0,1,2,4.06,582.63,1169.94,2018 Chevrolet Silverado owner reported transmission failure leading to 72238 during sudden shutdown driving. Owner felt disappointed after battery inspection.,battery inspection,0
Ford,Escape,2010,71725,17.6,5,1,2.21,1204.34,870.45,2010 Ford Escape suffers from suspension noise with 71725 warning lights at sudden shutdown mileage. Owner felt average after tire rotation.,tire rotation,1
Honda,Civic,2011,51051,10.6,1,1,2.07,396.57,966.67,Complaints about 2011 Honda Civic include infotainment crash and 51051 after warning chimes maintenance. Owner felt unsafe and comfortable after software update.,software update,1
Tesla,Model S,2015,91706,11.9,0,1,5.21,810.59,1040.18,Complaints about 2015 Tesla Model S include suspension noise and 91706 after sudden shutdown maintenance. Owner felt expensive after software update.,software update,0
Toyota,RAV4,2018,59704,15.3,1,0,5.89,868.46,1437.24,2018 Toyota RAV4 owner reported brake wear leading to 59704 during loss of power steering driving. Owner felt unsafe after software update.,software update,1
Toyota,Camry,2020,49292,20.2,0,2,3.38,371.75,1162.42,2020 Toyota Camry experienced engine stalling around 49292 miles causing warning chimes. Owner felt disappointed after software update.,software update,1
BMW,3 Series,2015,60917,19.1,0,2,4.75,557.43,1080.47,2015 BMW 3 Series suffers from electrical system glitch with 60917 warning lights at reduced acceleration mileage. Owner felt unsafe after oil change.,oil change,1
Chevrolet,Equinox,2012,61669,15.2,4,0,3.84,498.27,1394.37,Complaints about 2012 Chevrolet Equinox include suspension noise and 61669 after loss of power steering maintenance. Owner felt quiet after software update.,software update,1
Toyota,Camry,2014,61455,24.7,1,1,7.43,533.01,1577.22,2014 Toyota Camry owner reported engine stalling leading to 61455 during dashboard malfunction driving. Owner felt annoying and quiet after software update.,software update,0
Chevrolet,Equinox,2016,80053,21.8,1,2,2.87,859.96,994.59,2016 Chevrolet Equinox suffers from battery degradation with 80053 warning lights at reduced acceleration mileage. Owner felt quiet after brake pad replacement.,brake pad replacement,0
Tesla,Model S,2013,67227,10.9,2,0,4.45,183.37,1308.23,Complaints about 2013 Tesla Model S include battery degradation and 67227 after warning chimes maintenance. Owner felt average after tire rotation.,tire rotation,1
Chevrolet,Malibu,2014,61586,21.9,0,0,0.23,716.64,1478.44,2014 Chevrolet Malibu suffers from electrical system glitch with 61586 warning lights at warning chimes mileage. Owner felt frustrating after battery inspection.,battery inspection,0
Honda,Accord,2013,66856,24.8,1,0,7.32,790.73,929.98,Complaints about 2013 Honda Accord include air conditioning fault and 66856 after warning chimes maintenance. Owner felt average after battery inspection.,battery inspection,0
Hyundai,Elantra,2021,70574,13.0,4,0,1.0,778.32,1226.4,2021 Hyundai Elantra owner reported engine stalling leading to 70574 during reduced acceleration driving. Owner felt average after battery inspection.,battery inspection,1
Subaru,Forester,2018,73506,15.9,4,2,3.63,823.43,1111.04,2018 Subaru Forester owner reported infotainment crash leading to 73506 during dashboard malfunction driving. Owner felt annoying after battery inspection.,battery inspection,1
Subaru,Impreza,2012,78134,6.6,5,2,3.4,845.52,938.72,Complaints about 2012 Subaru Impreza include infotainment crash and 78134 after loss of power steering maintenance. Owner felt expensive and satisfied after oil change.,oil change,1
Honda,CR-V,2010,63822,18.4,1,0,0,879.69,1518.06,Complaints about 2010 Honda CR-V include electrical system glitch and 63822 after dashboard malfunction maintenance. Owner felt average after brake pad replacement.,brake pad replacement,0
Ford,Escape,2011,29639,11.5,4,2,3.03,473.77,982.07,2011 Ford Escape suffers from transmission failure with 29639 warning lights at loss of power steering mileage. Owner felt unsafe and comfortable after software update.,software update,0
Honda,Accord,2015,35137,10.6,4,2,1.1,322.29,1391.47,2015 Honda Accord experienced brake wear around 35137 miles causing loss of power steering. Owner felt comfortable after software update.,software update,0
Subaru,Forester,2010,46708,18.2,2,0,0.62,392.59,860.26,2010 Subaru Forester suffers from electrical system glitch with 46708 warning lights at sudden shutdown mileage. Owner felt disappointed after battery inspection.,battery inspection,0
